intent,text
technical_support,app gojek error pas buka produk
payment_inquiry,minta e-invoice buat laporan pajak deh
payment_inquiry,cicilan 10% buat tv ada ga
operating_hours_location,sabtu minggu buka sampai jam berapa ya
cancellation_request,udah cancel di app tapi masih ditagih min
order_status,barang stranded di hub udah 2 hari min
promotions_discounts,promo shopee untuk harbolnas ada ga
product_service_info,bisa custom kompor ga
shipping_information,apakah TIKI bisa same day ke Kalimantan
order_status,apa yang terjadi kalo paket hilang
cancellation_request,minta cancel order yg seller tidak respon ya
operating_hours_location,toko di Central Park Batam dimana bang
cancellation_request,tidak jadi pakai wifi mau cancel
refund_request,cara klaim refund makanan yang lecet
refund_request,syarat retur sepatu apa aja min
refund_request,minta uang balik untuk tas deh
product_service_info,mau nanya soal ssd dong dong
refund_request,refund paket ke ShopeePay bisa dong
shipping_information,apakah Grab Express bisa same day ke Makassar
promotions_discounts,cara klaim promo 12.12 sebelum habis
refund_request,bisa refund item tanpa kirim balik ga
cancellation_request,seller ga respon mau cancel aja dong
cancellation_request,ada biaya pembatalan ga untuk paket data kak
shipping_information,ongkir J&T ke Bali berapa ya
shipping_information,apakah ada layanan jemput paket retur kak
payment_inquiry,kenapa Dana saya error pas bayar
product_service_info,info produk produk ini dong
operating_hours_location,bisa minta dijemput ke rumah untuk service ga sih
refund_request,retur laptop ongkirnya tanggungan siapa sih
operating_hours_location,bisa chat CS di luar jam kerja ga bang
operating_hours_location,nomor WhatsApp toko ada ga sih
order_status,paket saya ada di Makassar belum
shipping_information,ada layanan packing premium buat barang mahal min
refund_request,minta uang balik untuk laptop gan
complaint,seller tukang tipu ga ada itikad baik gan
technical_support,kok tiba-tiba logout sendiri sob
account_data,cara pindahin akun dari hp lama ke baru dong
refund_request,minta uang balik untuk sepatu gan
account_data,cara bikin akun bisnis terpisah gimana kak
promotions_discounts,cashback Dana untuk payday berapa
operating_hours_location,service center di Manado ada ga
cancellation_request,batalin pesanan saya dong kak
payment_inquiry,minta e-invoice buat laporan pajak kak
operating_hours_location,outlet Malang buka hari Sabtu ga
product_service_info,dimensi tv ini berapa ya sih
technical_support,app tiket error pas buka produk
complaint,sudah lapor tapi tidak ada tindak lanjut dong
account_data,cek histori transaksi tahun lalu bisa ga dong
refund_request,refund lewat LinkAja bisa ga dong
product_service_info,laptop versi terbaru kapan rilis
complaint,driver minta ongkir tambahan di luar app sob
technical_support,kenapa grab terus error dong
complaint,barang yg saya terima lecet banget
account_data,ganti bahasa default app bisa ga gan
payment_inquiry,udah transfer tapi belum ke konfirm sih
product_service_info,stok tablet masih ada dong
technical_support,app nguras baterai dan bikin hp panas
complaint,minta pertanggungjawaban atas pesanan tidak berfungsi
payment_inquiry,tagihan BCA tidak sesuai ini gimana
operating_hours_location,toko offline di Batam dimana ya min
operating_hours_location,akses buat kursi roda ada ga di toko sob
shipping_information,estimasi Pos Indonesia ke Surabaya berapa lama
operating_hours_location,outlet di Lombok dimana aja ya
order_status,minta update resi JKT8382 dong ya
payment_inquiry,cicilan bulan ini belum muncul bang
shipping_information,free ongkir berlaku buat barang di atas 5 kg ga min
cancellation_request,udah cancel di app tapi masih ditagih ya
complaint,kecewa pengalaman pertama belanja di sini dong
cancellation_request,cancel reservasi coworking saya min
operating_hours_location,stand pameran di mall mana aja sob
account_data,verifikasi nomor telepon gagal gan
product_service_info,cara pake mouse gimana sih dong
refund_request,toko bilang refund max 10 hari udah lewat bang
cancellation_request,kok ga ada tombol cancel di orderan saya bang
refund_request,retur laptop ongkirnya tanggungan siapa
promotions_discounts,diskon baru untuk tahun baru berapa persen
operating_hours_location,nomor WhatsApp toko ada ga kak
promotions_discounts,diskon 10% untuk drone ada ga
payment_inquiry,saldo kepotong tapi mutasi ga muncul bang
promotions_discounts,promo dana untuk hari belanja nasional ada ga
refund_request,refund makanan ke Dana bisa
operating_hours_location,tukar barang offline bisa langsung ga min
shipping_information,ekspedisi recommended buat brg pecah bang
product_service_info,info produk blender dong
account_data,bisa daftar tanpa nomor telepon ga nih
order_status,cek kiriman Grab Express saya dong kak
technical_support,kok tiba-tiba logout sendiri kak
product_service_info,spesifikasi laptop gimana ya
operating_hours_location,outlet Kalimantan buka hari Minggu ga
complaint,barangnya ga lengkap kurang aksesoris ya
order_status,tracking GX8291 invalid nih dong
product_service_info,ada edisi spesial sepatu buat lebaran bang
payment_inquiry,invoice untuk meja kerja bisa dikirim ulang
promotions_discounts,cara ikut lucky draw berhadiah di platform kak
order_status,cek kiriman Ninja saya dong deh
promotions_discounts,kok harga di iklan sama di keranjang beda gan
payment_inquiry,transfer dari bank lain berapa lama
complaint,respon lama solusi ga ada bang
account_data,cara hapus akun permanen gimana ya
technical_support,gak bisa pilih alamat dari saved address bang
shipping_information,ada same day delivery ke Medan ga sih
product_service_info,spesifikasi lengkap kompor bisa liat dmn bang
complaint,sepatu udah cacat sejak unboxing nih
cancellation_request,batalkan paket data saya
complaint,uang udah kepotong tapi transaksi gagal
refund_request,toko bilang refund max 10 hari udah lewat dong
product_service_info,apa setrika ini waterproof sob
technical_support,menu tracking ga muncul di halaman deh
complaint,foto beda jauh sama kondisi real tas sob
product_service_info,bisa dikirim ke luar negeri ga kasur ini dong
order_status,kok ada tulisan pengiriman gagal sih
account_data,cara bikin akun bisnis terpisah gimana bang
order_status,kapan kira-kira paket saya nyampe sih
operating_hours_location,alamat lengkap cabang Balikpapan apa
order_status,bisa ambil sendiri di gudang ga nih
promotions_discounts,ada promo cashback untuk pembayaran pakai ShopeePay ya
payment_inquiry,bayar pake transfer bank bisa ga bang
product_service_info,printer versi terbaru kapan rilis bang
shipping_information,free ongkir ke NTT minimal berapa
cancellation_request,batalkan wifi saya deh
order_status,bisa reschedule waktu pengiriman ga nih
shipping_information,rate AnterAja untuk 20 kg ke Semarang
technical_support,traveloka crash waktu buka checkout
product_service_info,earphone ini bisa dicuci pake mesin cuci min
payment_inquiry,kok virtual account expired padahal belum bayar kak
operating_hours_location,nomor telepon toko NTT berapa
refund_request,uangku udah 1 bulan belum balik gan
cancellation_request,gimana cara batalkan pesanan yg sudah diproses kak
refund_request,barang udah dikirim balik tapi uang belum cair nih
complaint,udah komplen berkali-kali ga ada tanggapan nih
refund_request,uangku udah 2 bulan belum balik gan
account_data,kok setelah ganti password malah ga bisa login gan
technical_support,terus ada tulisan session expired dong
cancellation_request,beda harga pas checkout cancel aja sob
refund_request,syarat retur laptop apa aja dong
cancellation_request,batalin aja kalo stoknya kosong dong
promotions_discounts,cashback rekening BCA untuk hari belanja nasional berapa
technical_support,voucher diskon ga bisa di-apply sih
refund_request,batas waktu pengajuan refund berapa hari nih
payment_inquiry,bayar pake cek bisa ga bang
product_service_info,beda bantal B vs A apa
cancellation_request,batalkan langganan saya sih
order_status,lacak resi JKT8382 dong gan
promotions_discounts,ada diskon besar-besaran lebaran ga nih
product_service_info,beda kasur B vs standard apa
cancellation_request,kok ga ada tombol cancel di orderan saya nih
promotions_discounts,pengguna baru dapet diskon 50% max berapa sob
order_status,resi 009283 kok belum update ya
operating_hours_location,alamat lengkap cabang Makassar apa
cancellation_request,cara batal dari program cicilan berjalan gan
account_data,cara aktifkan notifikasi untuk transaksi nih
refund_request,saya minta mediasi untuk kasus refund ini
shipping_information,pengiriman ke luar pulau bisa ga dong
order_status,resinya ga update dari kemarin sore sob
cancellation_request,cancel reservasi lapangan saya ya
promotions_discounts,promo grab untuk natal ada ga
shipping_information,kurir toko atau ekspedisi reguler lebih cepet min
operating_hours_location,toko di Summarecon Mal Serpong Aceh dimana deh
product_service_info,jam tangan ini aman buat anak kecil min
cancellation_request,cancel otomatis asuransi gimana cara
account_data,login device asing kok ga ada notif gan
product_service_info,detail tablet apa ya
account_data,kok akun di-suspend tolong di-review bang
operating_hours_location,cabang terdekat dari rumah saya mana nih
cancellation_request,ada biaya pembatalan ga untuk langganan nih
account_data,verifikasi nomor telepon gagal nih
operating_hours_location,toko di Lippo Mall Manado dimana sob
payment_inquiry,kelebihan bayar bisa di refund ga
operating_hours_location,toko di ITC Mangga Dua Malang dimana gan
operating_hours_location,outlet di Semarang dimana aja sih
account_data,kok setelah ganti password malah ga bisa login sob
technical_support,tokopedia crash waktu buka produk
promotions_discounts,bisa pake lebih dari 1 kupon ga nih
product_service_info,cocok ga kamera ini buat kado gan
shipping_information,cara tracking JNE ke Medan
complaint,chat saya di-ignore terus sama seller dong
promotions_discounts,cara dapetin voucher dana bang
promotions_discounts,kode promo payday gimana dapat nya
technical_support,kenapa tokopedia terus crash kak
product_service_info,berapa berat tv ini ya dong
promotions_discounts,voucher udah expired padahal baru dapet sob
account_data,akun saya kenapa kena banned sih
cancellation_request,batalkan premium saya min
product_service_info,ada tutorial pemakaian webcam ga kak
operating_hours_location,jam buka di bulan Ramadan berapa min
order_status,lacak resi GX8291 dong ya
operating_hours_location,cabang Bandung buka jam berapa ya
refund_request,refund barang ke Dana bisa sob
operating_hours_location,jam buka toko hari ini berapa dong
shipping_information,kenapa ongkir ke daerah saya lebih mahal kak
operating_hours_location,toko di Taman Anggrek Pontianak dimana dong
refund_request,cara klaim refund sepatu yang penyok
promotions_discounts,kok diskon di keranjang ilang pas checkout ya
operating_hours_location,libur nasional toko buka ga gan
operating_hours_location,buka pas anniversary ga untuk area Papua
refund_request,kok refund cuma 10% padahal salah seller ya
product_service_info,bisa dikirim ke luar negeri ga AC ini min
complaint,saya mau lapor hp lecet
cancellation_request,kok ga ada tombol cancel di orderan saya sih
account_data,cara amanin akun biar ga kena retas sih
cancellation_request,batalin pesanan saya dong sob
refund_request,syarat retur makanan apa aja kak
cancellation_request,salah pencet order mau dibatalkan nih
product_service_info,garansi kulkas berlaku berapa lama kak
technical_support,server gojek down atau gimana ini
payment_inquiry,kenapa LinkAja saya error pas bayar
account_data,cara hapus username lama dari akun
product_service_info,stok meja kerja masih ada dong
technical_support,aplikasi ini crash waktu buka profil
technical_support,bug search di tokopedia sudah dilaporkan belum
order_status,lacak resi EXP1122 dong gan
product_service_info,bisa dikirim ke luar negeri ga blender ini min
promotions_discounts,diskon premium untuk harbolnas berapa persen
technical_support,kenapa lazada terus freeze kak
product_service_info,spesifikasi mouse gimana ya bang
cancellation_request,cara batal dari program cicilan berjalan sob
product_service_info,ukuran webcam tersedia apa aja
payment_inquiry,invoice untuk vakum bisa dikirim ulang
complaint,minta pertanggungjawaban atas barang cacat
technical_support,ga bisa login padahal password bener sob
cancellation_request,minta cancel tiket kereta yg sudah dipesan kak
refund_request,proses refund pesanan berapa lama deh
operating_hours_location,buka pas hari belanja nasional ga untuk area Makassar
shipping_information,ongkir AnterAja ke Palembang berapa ya
refund_request,minta uang balik untuk makanan gan
operating_hours_location,outlet yg buka 24 jam di Bali mana dong
cancellation_request,salah alamat mau cancel trus order ulang bang
product_service_info,ada diskon buat beli speaker pertama kali deh
technical_support,kenapa tiket terus blank ya
operating_hours_location,nomor telepon toko Pekanbaru berapa
complaint,laptop tidak berfungsi sejak hari pertama sih
payment_inquiry,bisa bayar pake 2 metode sekaligus ga bang
promotions_discounts,diskon 10% untuk smartwatch ada ga
complaint,kecewa pengalaman pertama belanja di sini sob
promotions_discounts,diskon 50% untuk hp ada ga
product_service_info,beda versi lama sama baru monitor apa aja ya
operating_hours_location,outlet Makassar buka hari Minggu ga
cancellation_request,cancel otomatis karena batas waktu bayar lewat kak
shipping_information,free ongkir berlaku buat barang di atas 1 kg ga ya
operating_hours_location,service center HP-nya dimana aja sih
product_service_info,mau nanya soal lemari pakaian dong nih
technical_support,lazada crash waktu buka produk
shipping_information,kirim paket ke Balikpapan via GoSend berapa hari
order_status,lacak resi SHP3912 dong kak
shipping_information,estimasi GoSend ke Pontianak berapa lama
promotions_discounts,pengguna baru dapet diskon 50% max berapa deh
account_data,notifikasi email bisa di-matiin ga
payment_inquiry,invoice untuk mouse bisa dikirim ulang
account_data,aktivasi akun tapi email verifikasi ga nyampe kak
operating_hours_location,outlet Palembang buka hari Senin ga
refund_request,laptop udah di retur tapi status masih pending sih
order_status,courier ga gerak-gerak dari seminggu lalu dong
payment_inquiry,transaksi gagal tapi keluar notif sukses sih
promotions_discounts,cara dapet voucher dari rating driver bang
refund_request,minta uang balik untuk paket kak
technical_support,server lazada down atau gimana ini
complaint,item udah tidak berfungsi sejak unboxing kak
account_data,bisa daftar tanpa nomor telepon ga deh
technical_support,cara fix blank di gojek
account_data,cara hapus akun permanen gimana min
payment_inquiry,bayar pake BRImo bisa ga gan
payment_inquiry,bisa bayar pake cicilan 0% ga deh
technical_support,loading terus pas mau chat seller kak
cancellation_request,batalin aja kalo stoknya kosong bang
product_service_info,meja kerja ini bisa dicuci pake mesin cuci gan
refund_request,cara klaim refund paket yang cacat
complaint,platform harus lebih tegas sama seller nakal nih
complaint,uang udah kepotong tapi transaksi gagal gan
product_service_info,spek flash disk lengkap ada ga
shipping_information,kok ongkirnya mahal banget gan
promotions_discounts,cara ikut lucky draw berhadiah di platform sih
complaint,komplain soal paket yg kumal
account_data,verifikasi wajah gagal terus gimana min
product_service_info,kompor ini import atau lokal sih
cancellation_request,kok ga ada tombol cancel di orderan saya
refund_request,minta dikembalikan uang untuk item
shipping_information,estimasi GoSend ke Kalimantan berapa lama
shipping_information,batas klaim keterlambatan pengiriman berapa hari nih
operating_hours_location,cabang terdekat dari rumah saya mana gan
cancellation_request,batalkan langganan saya min
operating_hours_location,lokasi toko di google maps mana sob
account_data,cara bikin akun bisnis terpisah gimana
shipping_information,Grab Express tersedia di Lombok ga
technical_support,bug live di gojek sudah dilaporkan belum
cancellation_request,tiket event bisa dikembalikan ga dong
order_status,ini orderan sudah di pickup belum nih
order_status,update terakhir paket SHP938271 mana
refund_request,udah upload bukti kok masih diproses sih
shipping_information,kirim paket ke Bali via Pos Indonesia berapa hari
product_service_info,ini harddisk limited edition ya gan
shipping_information,pengiriman instant 2 jam nyampe ga dong
refund_request,brg dikembalikan tapi seller bilang ga terima gan
cancellation_request,pembatalan tiket bioskop bisa ga ya
shipping_information,Grab Express tersedia di Makassar ga
shipping_information,pengiriman Ninja ke Kalimantan aman ga
account_data,cara hapus akun permanen gimana
payment_inquiry,kok virtual account expired padahal belum bayar min
account_data,cek histori transaksi tahun lalu bisa ga gan
technical_support,app aplikasi ini error pas buka pembayaran
complaint,seller kirim sepatu lecet ini gimana
cancellation_request,batalkan gym saya gan
product_service_info,info produk kamera dong
order_status,barang stranded di hub udah 3 hari bang
cancellation_request,cancel orderan gofood yg belum diproses
account_data,notifikasi email bisa di-matiin ga nih
account_data,nomor HP mau di-update bisa ga dong
complaint,item yg saya terima basah banget
account_data,salah input nama pas daftar bisa diubah ga
operating_hours_location,akses buat kursi roda ada ga di toko dong
shipping_information,pengiriman cold chain buat produk farmasi ada ga sob
cancellation_request,reservasi klinik mau di-cancel dong
cancellation_request,salah pencet order mau dibatalkan dong
promotions_discounts,diskon weekend mulai jumat apa sabtu sih
complaint,kualitas jelek banget ga worth it deh
complaint,ini bukan pertama kali item saya baret
shipping_information,rate Pos Indonesia untuk 5 kg ke Sulawesi
refund_request,minta uang balik barang ga sesuai foto
promotions_discounts,cashback Dana untuk 11.11 berapa
promotions_discounts,flash sale hp murah ada ga deh
payment_inquiry,cara cek histori pembayaran dmn
complaint,seller ga profesional item ga sesuai deskripsi
cancellation_request,cara pembatalan yg tidak kena denda gimana min
shipping_information,ongkir GoSend ke Lombok berapa ya
refund_request,kapan refund pesanan saya cair nih
account_data,akun saya kenapa tidak aktif min
order_status,brg di retur tanpa alasan jelas kenapa bang
cancellation_request,batalkan premium saya nih
promotions_discounts,kode voucher diskon 50% masih berlaku ga dong
promotions_discounts,ada promo 12.12 nih kak
refund_request,cara klaim refund item yang penyok
complaint,saya tidak puas sama paket ini
promotions_discounts,pengguna baru dapet diskon 20% max berapa dong
operating_hours_location,jam buka toko hari ini berapa
technical_support,fitur ulasan error ga keluar hasil min
promotions_discounts,ada promo cashback untuk pembayaran pakai rekening Mandiri sob
complaint,mau komplen nih tasnya rusak gan
payment_inquiry,invoice untuk sepatu bisa dikirim ulang
order_status,paket saya ada di Yogyakarta belum
operating_hours_location,alamat lengkap cabang Papua apa
refund_request,syarat retur makanan apa aja dong
technical_support,kode verifikasi ga valid padahal udah bener deh
technical_support,voucher diskon ga bisa di-apply dong
operating_hours_location,buka pas natal ga untuk area Surabaya
account_data,akun saya kenapa tidak bisa diakses nih
operating_hours_location,gerai reseller terdekat dari lokasi saya bang
technical_support,cara fix not responding di traveloka
account_data,notif perubahan password tidak masuk
payment_inquiry,bayar pake transfer bank bisa ga
promotions_discounts,voucher lebaran masih berlaku ga
refund_request,bisa refund tas tanpa kirim balik ga
technical_support,barcode ga kebaca pas mau bayar di kasir bang
product_service_info,size chart kulkas ada dmn ya
technical_support,cara fix crash di tokopedia
payment_inquiry,batas pembayaran pesanan tinggal 3 jam lagi sob
refund_request,cara klaim refund hp yang tidak berfungsi
account_data,keamanan email di platform ini gimana
complaint,saya kecewa sama sepatu yg saya beli sih
product_service_info,drone aman buat ibu hamil ga dong
operating_hours_location,libur nasional toko buka ga deh
operating_hours_location,ada store di Central Park ga sob
complaint,kena overcharge di payment ini gimana
complaint,saya minta kompensasi atas ketidaknyamanan ini
shipping_information,perkiraan nyampe 5 hari atau seminggu kak
product_service_info,spek kamera lengkap ada ga
complaint,komplain soal hp yg basah
account_data,cara ekspor data pembelian saya sob
order_status,tracking 094820 invalid nih ya
operating_hours_location,alamat untuk retur barang kirim dmn ya
account_data,cara ubah metode bayar di akun saya
product_service_info,dimensi powerbank ini berapa ya bang
payment_inquiry,transfer dari bank lain berapa lama sob
promotions_discounts,diskon dari bank Danamon masih berlaku ga dong
shipping_information,kirim ke luar negeri bisa ga dong
shipping_information,rate Ninja untuk 2 kg ke Semarang
cancellation_request,salah pencet order mau dibatalkan bang
product_service_info,ukuran router tersedia apa aja
payment_inquiry,struk digital ga bisa didownload bang
cancellation_request,cancel reservasi coworking saya kak
promotions_discounts,kok diskon di keranjang ilang pas checkout deh
refund_request,paket udah di retur tapi status masih pending sih
shipping_information,ongkir TIKI ke Medan berapa ya
operating_hours_location,toko fisiknya deket stasiun ga sob
complaint,mau komplen nih produknya cacat dong
shipping_information,kirim paket ke Pontianak via AnterAja berapa hari
shipping_information,pengiriman instant 2 jam nyampe ga
cancellation_request,proses pembatalan kereta berapa lama
account_data,cara bikin akun bisnis terpisah gimana min
shipping_information,estimasi pengiriman express ke Bandung berapa lama bang
technical_support,update aplikasi ini malah bikin error baru
product_service_info,ada sampel lampu ring sebelum beli ga sih
refund_request,kondisi paket harus gimana biar bisa retur gan
promotions_discounts,cara cek semua voucher aktif yg saya punya bang
order_status,resinya ga update dari seminggu lalu ya
payment_inquiry,saldo rekening Mandiri ga kepotong padahal bayar sukses
refund_request,gimana cara balikin barang
operating_hours_location,kantor yg khusus ngurus garansi dmn
account_data,apakah bisa punya 2 akun berbeda di sini dong
payment_inquiry,ada tulisan transaksi declined kenapa ya
payment_inquiry,tagihan beda sama harga di keranjang kenapa kak
refund_request,minta dikembalikan uang untuk tas
product_service_info,bedanya sepatu tipe premium sama A apa min
refund_request,belum ada kabar refund udah 1 minggu ya
payment_inquiry,limit pembayaran per hari berapa ya sob
shipping_information,perkiraan nyampe 7 hari atau seminggu gan
operating_hours_location,toko di Summarecon Mal Serpong Yogyakarta dimana dong
promotions_discounts,diskon baru untuk anniversary berapa persen
operating_hours_location,ada gerai di Surabaya ga ya
payment_inquiry,invoice untuk hp bisa dikirim ulang
order_status,resi EXP1122 kok belum update deh
complaint,service buruk banget ga recommended sih
cancellation_request,cancel otomatis koran digital gimana cara
account_data,update metode bayar akun bisa ga sob
refund_request,minta percepat proses refund saya min
promotions_discounts,kupon diskon ga berlaku di produk ini kenapa sob
operating_hours_location,service center HP-nya dimana aja dong
payment_inquiry,kok ga bisa apply paylater sih deh
technical_support,kode verifikasi ga valid padahal udah bener kak
refund_request,berapa lama proses refundnya min
payment_inquiry,cicilan 50% buat keyboard ada ga
shipping_information,paket cair ada treatment khusus ga ya
refund_request,batas waktu pengajuan refund berapa hari min
payment_inquiry,kok virtual account expired padahal belum bayar
technical_support,fitur live chat ga konek ke agent gan
account_data,bisa daftar tanpa nomor telepon ga
technical_support,cookies error clear cache masih ga bisa min
promotions_discounts,cashback rekening Mandiri untuk anniversary berapa
shipping_information,ekspedisi recommended buat brg pecah ya
cancellation_request,pesanan udah di-cancel tapi uang belum balik deh
promotions_discounts,promo buy 1 get 1 free ada ga nih
order_status,lacak resi TLX7291 dong bang
technical_support,login tokopedia gagal padahal data benar
promotions_discounts,pengguna baru dapet diskon 20% max berapa deh
cancellation_request,pengen cancel software saya deh
cancellation_request,saya tidak jadi ambil pesanan COD nih
order_status,lacak resi SHP3912 dong nih
account_data,update nomor HP akun bisa ga kak
order_status,udah 2 minggu barang ga nyampe sih
shipping_information,barang stuck di bea cukai berapa lama sob
operating_hours_location,service center di Bandung ada ga
account_data,akun saya kenapa tiba-tiba di-suspend sob
product_service_info,harga kulkas berapa sekarang
promotions_discounts,cashback rekening BRI untuk tahun baru berapa
product_service_info,bisa custom charger ga
payment_inquiry,tagihan saya dobel ini gimana deh
operating_hours_location,toko fisiknya deket stasiun ga bang
promotions_discounts,cashback rekening Mandiri coins bisa buat apa aja kak
operating_hours_location,cabang Papua buka jam berapa sob
order_status,pesanan kehapus tapi udah bayar ini gimana kak
technical_support,app traveloka error pas buka profil
shipping_information,ada asuransi pengiriman ga sob
cancellation_request,cancel otomatis karena batas waktu bayar lewat bang
operating_hours_location,jadwal buka pas lebaran gimana ya
promotions_discounts,cara dapet voucher dari rating driver kak
refund_request,refund bisa ke GoPay ga nih
shipping_information,ongkir J&T ke Balikpapan berapa ya
technical_support,fitur live error ga keluar hasil nih
complaint,foto beda jauh sama kondisi real pesanan min
order_status,lacak resi 094820 dong bang
cancellation_request,hapus orderan yg belum dibayar ya
technical_support,lupa password dan email ga bisa diakses ya
complaint,kok respon CS lama banget bang
shipping_information,estimasi pengiriman express ke Batam berapa lama sih
operating_hours_location,gudang pengambilan barang dmn aja sih
complaint,barang expired pas saya terima deh
product_service_info,hp ini import atau lokal
shipping_information,kirim paket ke NTT via SiCepat berapa hari
order_status,paket saya ada di Pekanbaru belum
operating_hours_location,bisa chat CS di luar jam kerja ga gan
refund_request,seller ga mau terima retur ini gimana ya
operating_hours_location,outlet Balikpapan buka hari Sabtu ga
payment_inquiry,cara bayar pake GoPay gimana sih
account_data,cara hapus akun permanen gimana nih
operating_hours_location,outlet Medan buka hari Sabtu ga
complaint,kualitas jelek banget ga worth it sih
shipping_information,kirim paket ke Yogyakarta via GoSend berapa hari
shipping_information,berapa lama pengiriman ke pelosok Manado
operating_hours_location,cabang Bandung buka jam berapa sih
technical_support,aplikasi tokopedia force close mulu sih
promotions_discounts,batas pemakaian kupon per hari berapa ya
operating_hours_location,kantor pusat di Semarang dimana min
refund_request,kondisi barang harus gimana biar bisa retur sob
operating_hours_location,alamat lengkap cabang Manado apa
product_service_info,bisa dikirim ke luar negeri ga AC ini kak
account_data,cara pindahin akun dari hp lama ke baru sih
technical_support,app tiket error pas buka pesanan
refund_request,refund lewat ShopeePay bisa ga min
refund_request,produk udah di retur tapi status masih pending kak
account_data,kenapa saldo reward berkurang tiba-tiba
product_service_info,ukuran flash disk tersedia apa aja
complaint,produk udah penyok sejak unboxing gan
cancellation_request,cancel reservasi studio saya sob
complaint,respon lama solusi ga ada nih
order_status,kapan kira-kira paket saya nyampe nih
payment_inquiry,minta e-invoice buat laporan pajak ya
account_data,akun saya kenapa tiba-tiba di-suspend ya
payment_inquiry,bisa bayar pake cek ga dong
promotions_discounts,cashback rekening BCA untuk anniversary berapa
cancellation_request,minta cancel tiket pertandingan yg sudah dipesan min
complaint,case saya belum ada penyelesaian 3 bulan nih
technical_support,lazada crash waktu buka keranjang
operating_hours_location,cabang Batam buka jam berapa gan
order_status,tracking JKT8382 invalid nih deh
promotions_discounts,promo shopee untuk 12.12 ada ga
operating_hours_location,buka pas harbolnas ga untuk area NTT
refund_request,dispute buka via bank bisa ga kalo seller kabur deh
complaint,baru pake 5 hari udah kotor parah dong
cancellation_request,cancel layanan streaming yg free trial min
account_data,cara lihat semua perangkat yg login ke akun nih
cancellation_request,pengen cancel software saya sih
order_status,cek kiriman Pos Indonesia saya dong dong
shipping_information,rate SiCepat untuk 1 kg ke Balikpapan
payment_inquiry,cicilan bulan ini belum muncul kak
promotions_discounts,diskon student untuk 11.11 berapa persen
payment_inquiry,cara bayar pakai BNI mobile banking
promotions_discounts,cashback rekening BNI untuk 12.12 berapa
refund_request,cara klaim refund sepatu yang lecet
payment_inquiry,cicilan 10% buat printer ada ga
product_service_info,review tablet dari user lain bisa liat ga
technical_support,face id login error padahal udah setting kak
technical_support,kode verifikasi ga valid padahal udah bener sob
cancellation_request,cara membatalkan layanan berlangganan wifi gan
account_data,verifikasi nomor telepon gagal deh
order_status,lacak resi 094820 dong sih
technical_support,cookies error clear cache masih ga bisa
technical_support,mau ganti no HP tp kode verifikasi ga nyampe dong
promotions_discounts,kode voucher diskon 50% masih berlaku ga deh
cancellation_request,cara cancel pemesanan custom yg belum dibuat dong
shipping_information,cara tracking TIKI ke Balikpapan
operating_hours_location,jam buka di bulan Ramadan berapa sob
operating_hours_location,buka pas lebaran ga untuk area Semarang
operating_hours_location,bisa lihat barang langsung di store ga sih
order_status,pesanan kehapus tapi udah bayar ini gimana sih
refund_request,cara klaim refund barang yang basah
complaint,saya mau lapor barang cacat
payment_inquiry,transfer dari bank lain berapa lama kak
order_status,minta update resi GOS9384 dong sob
payment_inquiry,invoice untuk item ini bisa dikirim ulang
refund_request,gimana cara balikin laptop nih
payment_inquiry,biaya transfer antar bank ditanggung siapa kak
shipping_information,ongkir Grab Express ke Bali berapa ya
shipping_information,cara tracking AnterAja ke Manado
payment_inquiry,cara bayar pakai BCA mobile banking
order_status,udah 7 minggu barang ga nyampe min
payment_inquiry,konfirmasi pembayaran BRImo berapa lama
product_service_info,beli sepatu dapet bonus apa ga
complaint,case saya belum ada penyelesaian 10 bulan min
technical_support,aplikasi shopee force close mulu bang
refund_request,proses refund barang berapa lama sih
payment_inquiry,invoice untuk monitor bisa dikirim ulang
product_service_info,cara tau router ori atau palsu gimana sih
complaint,baru pake 1 hari udah rusak parah gan
cancellation_request,subscription box bulan ini skip dulu deh
shipping_information,gratis ongkir minimal belanja berapa deh
refund_request,kondisi paket harus gimana biar bisa retur sob
technical_support,bug wishlist di traveloka sudah dilaporkan belum
order_status,hari libur ada pengiriman ga dong
cancellation_request,pembatalan tiket bus bisa ga
operating_hours_location,kantor cabang buka hari Sabtu ga
refund_request,cara klaim refund hp yang basah
account_data,akun terkunci setelah salah password berulang ya
account_data,update alamat akun bisa ga sob
payment_inquiry,bayar pake kartu debit bisa ga gan
technical_support,kenapa verifikasi OTP ga masuk-masuk gan
complaint,komplain soal hp yg tidak berfungsi
complaint,makanan basi pas di delivery ini gimana bang
cancellation_request,cara cancel pemesanan custom yg belum dibuat nih
order_status,apa yang terjadi kalo paket hilang gan
payment_inquiry,bisa bayar pake 2 metode sekaligus ga sob
shipping_information,lacak kiriman Ninja kok sering delay sih
account_data,cara ganti alamat email yg terdaftar sih
order_status,cek kiriman Grab Express saya dong nih
operating_hours_location,jam CS untuk area Pekanbaru berapa
payment_inquiry,bayar pake LinkAja later bisa ga dong
refund_request,toko bilang refund max 3 hari udah lewat bang
shipping_information,kirim ke Pontianak bisa pake SiCepat ga kak
technical_support,login grab gagal padahal data benar
shipping_information,cara tracking J&T ke Balikpapan
payment_inquiry,pin ATM ga bisa buat transfer gan
cancellation_request,batalkan koran digital saya ya
refund_request,barang salah kirim minta tuker atau refund sih
complaint,hp yg saya terima basah banget
